date,silver_ret,gold_ret,sp500_ret,nasdaq_ret,oil_ret,silver_ret_lag1,gold_ret_lag1,sp500_ret_lag1,platinum.close,palladium.close,usd_chf,eur_usd,sp500.spread
2010-01-19,0.02043081818038761,0.005935803020554964,0.012418174449160269,0.01601072712623175,0.013707702028683322,-0.013488200174211595,-0.010498548578972589,-0.01128769039468036,165.12,46.94,1.034,1.4269,0
2010-01-20,-0.05076123797702081,-0.0234066750566857,-0.010220661148887977,-0.014485173817394337,-0.02707793659185498,0.02043081818038761,0.005935803020554964,0.012418174449160269,163.22,47.05,1.0453,1.4094,0
2010-01-21,-0.027243455611107414,-0.014516458509484131,-0.019416364211104487,-0.009408230429398312,-0.017303772621643176,-0.05076123797702081,-0.0234066750566857,-0.010220661148887977,159.79,45.3,1.0426,1.4106,0
2010-01-22,-0.017997583030896713,-0.0018644547211383866,-0.02254407186551788,-0.029673119613073062,-0.02446438944084095,-0.027243455611107414,-0.014516458509484131,-0.019416364211104487,154.88,43.3,1.04,1.4154,0
2010-01-25,0.003508775529679653,0.002888425022384844,0.005114633489587739,0.0033909832425584874,0.012850484422904707,-0.017997583030896713,-0.0018644547211383866,-0.02254407186551788,155.19,44.36,1.0403,1.4146,0
2010-01-26,-0.024823969728726247,7.440476533737694e-4,-0.004199385393480526,9.023235441900646e-4,-0.008457286802483921,0.003508775529679653,0.002888425022384844,0.005114633489587739,153.52,42.75,1.0466,1.4063,0
2010-01-27,-0.009723965093424436,-0.009640970008049976,0.004745833494510521,0.007860792863934929,-0.011573565394022989,-0.024823969728726247,7.440476533737694e-4,-0.004199385393480526,149.99,41.34,1.0472,1.4053,0
2010-01-28,-0.020759920800761833,-4.5068730575792415e-4,-0.011538589556494117,-0.02606379832101169,0.0022148403295525476,-0.009723965093424436,-0.009640970008049976,0.004745833494510521,151.21,42.16,1.0517,1.3993,0
2010-01-29,-0.0011296890235721335,-0.0048955096829876865,-0.01092805837363553,-0.01760527286978597,-0.014484932921366767,-0.020759920800761833,-4.5068730575792415e-4,-0.011538589556494117,150.47,41.6954,1.0557,1.387,0
2010-02-01,0.029816629241056436,0.02230506357849915,0.015431121627790034,0.01092399009618683,0.02985296314968089,-0.0011296890235721335,-0.0048955096829876865,-0.01092805837363553,155.06,43.2494,1.0586,1.3904,0
2010-02-02,-0.0024009615375377713,0.007173104142630393,0.01203076851343976,0.008974861760698616,0.02177641392522789,0.029816629241056436,0.02230506357849915,0.015431121627790034,158.4,44.302,1.0557,1.3955,0
2010-02-03,-0.016359044010019197,-0.003948037997834497,-0.004995242211100148,0.005483221414531503,0.003234974568385063,-0.0024009615375377713,0.007173104142630393,0.01203076851343976,157.7,43.857,1.059,1.3907,0
2010-02-04,-0.06629122707059842,-0.04064951629520319,-0.031352269690766654,-0.02936287702967144,-0.05038506083924821,-0.016359044010019197,-0.003948037997834497,-0.004995242211100148,150.41,40.85,1.0655,1.3759,0
2010-02-05,-0.008521847704763719,0.0029657998299850163,0.0020647590629678803,0.008411264543893182,-0.01661776023969308,-0.06629122707059842,-0.04064951629520319,-0.031352269690766654,148.02,40.09,1.0779,1.3608,0
2010-02-08,-0.011254670271692913,-0.00613263708149514,-0.007245385730093368,-0.007238794014455596,-0.003413943571837663,-0.008521847704763719,0.0029657998299850163,0.0020647590629678803,147.1,40.68,1.0696,1.3699,0
2010-02-09,0.026931020039080877,0.013082067686647214,0.012481978957028517,0.010258891559134398,0.031419134182426145,-0.011254670271692913,-0.00613263708149514,-0.007245385730093368,150.25,41.912,1.0641,1.3795,0
2010-02-10,-0.011734163321648783,-0.002754953530796911,-0.0019605103604813934,-0.0020898649194589503,0.008250871889995626,0.026931020039080877,0.013082067686647214,0.012481978957028517,151.34,41.36,1.0682,1.3722,0
2010-02-11,0.02716855331450896,0.01894049553816579,0.010411918918535434,0.014996243657885433,0.007368023508629751,-0.011734163321648783,-0.002754953530796911,-0.0019605103604813934,152.94,42.08,1.0747,1.364,0
